id;name;price;quantity;description
1;Supervisor convergence;40756;29936;azure
2;Up-sized Bedfordshire;87405;30728;extend Lao People's Democratic Republic
3;De-engineered;65763;35758;Concrete Director
4;Buckinghamshire New York;78619;53428;navigate Sleek Concrete Pizza
5;portal China;95466;7535;UAE Dirham Towels
6;Avon;5278;1643;innovate Cote d'Ivoire
7;invoice;2865;46595;Practical Soft Pizza Agent partnerships
8;Spain;27787;3682;impactful hub
9;SSL Vista Nuevo Sol;94646;17388;array calculate
10;Lead;38716;16304;Keyboard Associate invoice
